booking_id,country_code,booking_policy,fulfilment_info,employee_id,customer_id,service_ids,salon_id,updated,status,created,currency_code,price
4234656,AT,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-12"",""startTime"":""18:00:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/Vienna""}",2242630,125856,"[{""service"":""101838521""}]",37570,2023-01-01 00:02:42,refunded,2022-12-30 21:56:30,EUR,17.7
722579,AT,"{""rescheduleCutOff"":""1H"",""cancellationCutOff"":""1H""}","{""bookingDate"":""2023-01-20"",""startTime"":""14:30:00"",""treatmentDurationMinutes"":""20"",""venueTimezone"":""Europe/Vienna""}",1985206,523326,"[{""service"":""101838519""},{""service"":""101838520""},{""service"":""101838517""},{""service"":""101838518""}]",19946,2023-01-01 00:04:01,refunded,2022-12-18 21:35:19,EUR,95.29
217561,AT,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-06"",""startTime"":""15:05:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/Vienna""}",,4718189,"[{""service"":""101838512""}]",26997,2023-01-01 00:04:53,refunded,2022-12-27 22:32:08,EUR,97.91
817002,AT,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-03"",""startTime"":""18:00:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/Vienna""}",4260942,4713777,"[{""service"":""101838511""}]",16395,2023-01-01 00:10:41,cancelled,2022-12-16 14:05:49,EUR,24.14
1848356,CH,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-03"",""startTime"":""18:45:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/Zurich""}",3650065,640209,"[{""service"":""101838508""},{""service"":""101838509""},{""service"":""101838510""}]",1652,2023-01-01 00:11:37,refunded,2022-12-05 09:58:31,CHF,148.25
4828520,CH,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-04"",""startTime"":""17:15:00"",""treatmentDurationMinutes"":""135"",""venueTimezone"":""Europe/Zurich""}",3825758,633091,"[{""service"":""101838447""}]",34947,2023-01-01 00:13:25,confirmed,2022-12-19 12:05:09,CHF,159.8
2843973,CH,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-02"",""startTime"":""14:00:00"",""treatmentDurationMinutes"":""10"",""venueTimezone"":""Europe/Zurich""}",4604129,1445799,"[{""service"":""101838444""},{""service"":""101838445""},{""service"":""101838446""}]",24854,2023-01-01 00:14:48,confirmed,2022-12-17 03:18:29,CHF,61.05
124938,DE,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-10"",""startTime"":""17:00:00"",""treatmentDurationMinutes"":""90"",""venueTimezone"":""Europe/Berlin""}",,3195480,"[{""service"":""101838103""},{""service"":""101838104""},{""service"":""101838105""}]",1332,2023-01-01 00:16:33,cancelled,2022-12-17 00:06:28,EUR,63.42
585185,DE,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-04"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""75"",""venueTimezone"":""Europe/Berlin""}",481866,66441,"[{""service"":""101837807""},{""service"":""101837808""},{""service"":""101837809""}]",12286,2023-01-01 00:31:21,refunded,2022-12-13 18:35:04,EUR,140.7
3723245,DE,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-05"",""startTime"":""15:35:00"",""treatmentDurationMinutes"":""40"",""venueTimezone"":""Europe/Berlin""}",28717,2477951,"[{""service"":""101837211""},{""service"":""101837212""},{""service"":""101837213""}]",24304,2023-01-01 00:33:24,placed,2022-12-11 22:50:20,EUR,155.47
