salon_id,salon_name,status,channel,description,location_id,url,venuetypeid,venuesubtypeids,phone,email,customerserviceemail,employeeselectionallowed,maxavailabilityperioddays,country,created_date,updated
700026,Schamberger Group,Inactive,Offline,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",54,treatwell.com/mock/700026,Type 1,Subtype 1,733-765-4086,schambergergroup@fakemail.com,schambergergroup@fakemail.com,FALSE,180,France,2014-03-05 11:52:42,2020-04-06 09:17:31
700029,Torp Inc,Inactive,Marketplace,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",87,treatwell.com/mock/700029,Type 2,Subtype 1,901-380-1576,torpinc@fakemail.com,torpinc@fakemail.com,FALSE,174,France,2014-03-05 11:55:31,2017-06-22 07:36:07
700047,"Wiegand, Kuhic and Bednar",Active,Offline,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",60,treatwell.com/mock/700047,Type 3,Subtype 3,762-716-1010,wiegandkuhicandbednar@fakemail.com,wiegandkuhicandbednar@fakemail.com,FALSE,216,France,2014-03-05 12:10:34,2020-04-06 09:17:31
700069,Kerluke-Ferry,Inactive,Social Media,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",41,treatwell.com/mock/700069,Type 2,Subtype 1,474-880-0285,kerluke-ferry@fakemail.com,kerluke-ferry@fakemail.com,FALSE,167,France,2014-03-05 12:39:06,2017-06-22 07:36:07
700073,"Heathcote, Deckow and Ankunding",Active,Online,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",62,treatwell.com/mock/700073,Type 2,Subtype 2,582-563-0349,heathcotedeckowandankunding@fakemail.com,heathcotedeckowandankunding@fakemail.com,TRUE,210,Netherlands,2014-03-05 12:40:39,2020-04-06 09:17:31
700142,"Dare, Ledner and Jacobs",Inactive,Social Media,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",52,treatwell.com/mock/700142,Type 3,Subtype 3,526-910-2804,darelednerandjacobs@fakemail.com,darelednerandjacobs@fakemail.com,FALSE,212,Netherlands,2014-03-05 13:35:12,2020-04-06 09:17:31
700146,Effertz Inc,On Hold,Online,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",5,treatwell.com/mock/700146,Type 2,Subtype 3,838-587-2250,effertzinc@fakemail.com,effertzinc@fakemail.com,FALSE,281,Netherlands,2014-03-05 13:38:11,2020-04-06 09:17:31
700149,"Koch, Muller and Abernathy",Inactive,Marketplace,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",23,treatwell.com/mock/700149,Type 2,Subtype 3,840-353-0283,kochmullerandabernathy@fakemail.com,kochmullerandabernathy@fakemail.com,FALSE,204,Netherlands,2014-03-05 13:43:39,2017-06-22 07:36:07
700168,Yundt-Farrell,Inactive,Offline,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,84,treatwell.com/mock/700168,Type 2,Subtype 2,949-857-2623,yundt-farrell@fakemail.com,yundt-farrell@fakemail.com,FALSE,276,France,2014-03-05 13:58:10,2017-06-22 07:36:07
700223,Reilly-Von,On Hold,Offline,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",100,treatwell.com/mock/700223,Type 3,Subtype 3,930-623-9539,reilly-von@fakemail.com,reilly-von@fakemail.com,FALSE,322,France,2014-03-05 14:42:06,2017-06-22 07:36:07
